str_no_string|NO STRING!
str_persuasion_summary_very_bad|Ihr tut Euer Bestes, {s50} zu überzeugen, aber keins Eurer Argumente scheint zu fußen. Immer, wenn Ihr das Richtige sagen wollt, sagt Ihr genau das Falsche, was Euch dann noch mehr verwirrt. Zum Schluss Eurer Rede habt Ihr keinen einzigen Punkt zu Euren Gunsten vorbringen können, und Ihr erkennt, dass Ihr Euch nur noch tiefer in den Schlamassel geritten habt. {s50} sieht nicht beeindruckt aus, was auch nicht überrascht.
str_persuasion_summary_bad|Ihr versucht, {s50} zu überzeugen, doch {reg51?sie:er} manövriert Euch direkt von Beginn an aus. Selbst Eure besten Argumente klingen hohl in Euren eigenen Ohren. Und ebenso hat auch {s50} sich keine sehr hohe Meinung von Euren Ausführungen gemacht.
str_persuasion_summary_average|{s50} stellt sich als geschickter Orator mit scharfem Verstand heraus, und Ihr scheint nichts Konkretes hervorbringen zu können, das {reg51?sie:er} nicht durch Logik kontern kann. Zum Schluss gewinnt keiner von Euch in dieser Diskussion an Boden.
str_persuasion_summary_good|Durch rasches Denken und geschickte Argumentation schafft Ihr, Eure Sache gut darzulegen und {s50} zum Einlenken bei verschiedenen Punkten zu zwingen. Trotzdem hegt {reg51?sie:er} noch Zweifel über Euer Ansinnen.
str_persuasion_summary_very_good|Ihr legt eine leidenschaftliche Rede hin, die in den Ohren aller wie reinste Poesie klingt. Die Welt selbst scheint zu verstummen, um Euch besser hören zu können. Die inspirierenden Worte haben {s50} tief bewegt, und {reg51?sie:er} hat viel größeres Interesse daran, Euch zu helfen.
str_secret_sign_1|Der Kleiderschrank tanzt um Mitternacht ...
str_secret_sign_2|Ich verkaufe diese schönen Khergit-Wandteppiche. Möchtet Ihr welche kaufen?
str_secret_sign_3|Der Freund eines Freundes hat mich geschickt ...
str_secret_sign_4|Der Wind bläst stark aus dem Osten, und der Fluss färbt sich rot ...
str_countersign_1|Aber tanzt er für die Anrichte oder die Kerze?
str_countersign_2|Ja gerne, habt Ihr welche in Blau?
str_countersign_3|Aber, mein Freund, der Freund Eures Freundes wird nie einen Freund wie mich haben.
str_countersign_4|Wart Ihr krank?
str_name_1|Albard
str_name_2|Euscarl
str_name_3|Sigmar
str_name_4|Talesqe
str_name_5|Ritmand
str_name_6|Aels
str_name_7|Raurqe
str_name_8|Bragamus
str_name_9|Taarl
str_name_10|Ramin
str_name_11|Shulk
str_name_12|Putar
str_name_13|Tamus
str_name_14|Reichad
str_name_15|Walcheas
str_name_16|Rulkh
str_name_17|Marlund
str_name_18|Auguryn
str_name_19|Daynad
str_name_20|Joayah
str_name_21|Ramar
str_name_22|Caldaran
str_name_23|Brabas
str_name_24|Kundrin
str_name_25|Pechnak
str_surname_1|{s50} von Uxhal
str_surname_2|{s50} von Wercheg
str_surname_3|{s50} von Reyvadin
str_surname_4|{s50} von Suno
str_surname_5|{s50} von Jelkala
str_surname_6|{s50} von Veluca
str_surname_7|{s50} von Halmar
str_surname_8|{s50} von Curaw
str_surname_9|{s50} von Sargoth
str_surname_10|{s50} von Tihr
str_surname_11|{s50} von Zendar
str_surname_12|{s50} von Rivacheg
str_surname_13|{s50} von Wercheg
str_surname_14|{s50} von Ehlerdag
str_surname_15|{s50} von Yaragar
str_surname_16|{s50} von Burglen
str_surname_17|{s50} von Shapeshte
str_surname_18|{s50} von Hanun
str_surname_19|{s50} von Saren
str_surname_20|{s50} von Tosdhar
str_surname_21|{s50} der Lange
str_surname_22|{s50} der Hagere
str_surname_23|{s50} Seidenbart
str_surname_24|{s50} der Spatz
str_surname_25|{s50} der Bettler
str_surname_26|{s50} der Vernarbte
str_surname_27|{s50} der Schöne
str_surname_28|{s50} der Grimme
str_surname_29|{s50} der Rote
str_surname_30|{s50} der Schwarze
str_surname_31|{s50} der Große
str_surname_32|{s50} Sternauge
str_surname_33|{s50} der Furchtlose
str_surname_34|{s50} der Tapfere
str_surname_35|{s50} der Gerissene
str_surname_36|{s50} der Feigling
str_surname_37|{s50} Schlau
str_surname_38|{s50} der Schnelle
str_surname_39|{s50} der Minnesänger
str_surname_40|{s50} der Dreiste
str_surname_41|{s50} Hitzkopf
str_surnames_end|surnames end
str_number_of_troops_killed_reg1|Anzahl getöteter Truppen: {reg1}
str_number_of_troops_wounded_reg1|Anzahl verwundeter Truppen: {reg1}
str_number_of_own_troops_killed_reg1|Anzahl getöteter verbündeter Truppen: {reg1}
str_number_of_own_troops_wounded_reg1|Anzahl verwundeter verbündeter Truppen: {reg1}
str_retreat|Rückzug!
str_siege_continues|Die Kämpfe dauern an
str_casualty_display|Eure Verluste: {s10}^Feindverluste: {s11}{s12}
str_casualty_display_hp|^Ihr wurdet für {reg1} Trefferpunkte verwundet.
str_quest_log_updated|Questlogbuch wurde aktualisiert ...
str_banner_selection_text|Man hat Euch das Recht verliehen, ein Banner zu tragen. Euer Banner wird Euren Status darstellen und Euch Ehre bringen. Welches Banner wählt Ihr?
str_retirement_text_1|Zu spät erkennt Ihr, dass Euer Geld nicht ausreicht. Ihr braucht nicht lange, um das Wenige zu vergeuden, das Ihr zu sparen gedachtet, und mehrere verzweifelte Versuche, die Abenteurerei wieder aufzunehmen, scheitern kläglich. Ihr endet als Bettler in {s9} und lebt von Almosen und der Barmherzigkeit der Kirche.
str_retirement_text_2|Zu spät erkennt Ihr, dass Euer Geld nicht ausreicht. Ihr braucht nicht lange, um das Wenige zu vergeuden, das Ihr zu sparen gedachtet. Als der letzte Dinar durch Eure Hände gesickert ist, seid Ihr zu einem Leben als Gauner in den Gassen von {s9} gezwungen, wo Ihr Eure Fertigkeiten dazu einsetzt, Weibern und Armenhäuslern Kupferstücke zu stehlen.
str_retirement_text_3|Zu spät erkennt Ihr, dass Euer Geld nicht ausreicht. Ihr braucht nicht lange, um das Wenige zu vergeuden, das Ihr zu sparen gedachtet, und Ihr endet als mittelloser Landstreicher, der von Schänke zu Schänke zieht, um mit Kriegsgeschichten, die niemand je glaubt, gutmütige Gäste dazu zu bringen, Euch den einen oder anderen Becher auszugeben.
str_retirement_text_4|Euer Silber reicht nicht lange, aber Ihr habt genug zusammengekratzt, um ein Stück Land nahe dem Dorf {s7} zu kaufen. Dort werdet Ihr ein freier Bauer, und beginnt schon bald, potentielle {Gattinnen/Gatten} anzuziehen. Mit der Zeit behandeln die Dörfler Euch als ihren lokalen Helden. Bei Festen setzt man Euch immer auf den Ehrenplatz, und Eure Taten werden ein ums andere Mal in den Schänken und Tavernen erzählt, auf dass Ihr den Kindern auf immer in Erinnerung bleibt.
str_retirement_text_5|Euer Silber reicht nicht lange, aber es ist genug, um eine kleine Schänke in {s9} zu erwerben. Obwohl die Anwohner Euch zuerst misstrauisch begegnen, akzeptieren sie Euch schon bald in ihrer Mitte. Mit der Zeit wird Eure stetig wachsende Schänke als Festhalle und Treffpunkt beliebt. Die Leute kommen von überall, um zu essen oder zu übernachten, alles wegen Eurer Bekanntheit und den Epen, die Ihr von Euren Abenteurertagen zum Besten gebt.
str_retirement_text_6|Ihr habt während Eurer Karriere sorgsam angespart, und nun erlauben Euch Euer Silber und Eure Intelligenz einige ausgezeichnete Investitionen zur Zementierung Eurer Zukunft. Nachdem Ihr mehrere Läden und Lagerhäuser in {s9} erworben habt, werdet Ihr dank Eurer Schläue zu einem der prominentesten Kaufleute der Stadt, und bald schon ein wohlhabender Mensch, der gleichsam für sein Handelsimperium wie für seine Taten in der Schlacht bekannt ist.
str_retirement_text_7|Als adliger Grundbesitzer, egal wie klein, ist Eure Zukunft gesichert. Ihr lasst Euch in eurer Feste bei {s7} nieder, verwaltet das Dorf und die Felder, sprecht Recht in den örtlichen Gerichtshöfen und erfüllt Eure Obliegenschaften an Euren Lehnsherrn. Gelegentlich ruft Euch Euer Lehnsherr zur Hilfe in seinen Feldzügen, aber dies sind nur kurze Begebenheiten, und Ihr kehrt nie wirklich zum Abenteurerleben Eurer Jugend zurück. Ihr habt schon Euer Glück gemacht. Dank Eurer eigenen Grundstücke und Besitztümer gibt es nur wenig, was Ihr Euch mit Eurem persönlichen Reichtum und den Einkünften von Euren Ländereien nicht leisten könnt.
str_retirement_text_8|Zweifelsohne habt Ihr es zu etwas gebracht. Eure ausgedehnten Besitztümer und der Reichtum aus Eurem Abenteurerleben reichen aus, um Euch ein reiches und unbeschwertes Leben für den Rest Eurer Tage zu garantieren. Mit dem Ruhestand auf Eurem Adelssitz in {s8} tauscht Ihr Abenteuer gegen Politik aus, und bald schon etabliert Ihr Euch als eine beträchtliche Machtperson im Königreich Eures Lehnsherrn. Mit all den interessanten Intrigen, Euren eigenen Waldgebieten zur Jagd, einer Halle für Gelage und Hunderten ausgesuchter Kriegsgeschichten im Säckel werdet Ihr wenig Schwierigkeiten haben, Eure weiteren Jahre aufs Allerfeinste auszuleben.
str_retirement_text_9|Als Belohnung für Eure kompetenten und loyalen Dienste überträgt Euer Lehnsherr Euch einen vererbbaren Titel, was Euch zu den Reihen des Hochadels des Reiches aufschließen lässt. Bald schon beendet Ihr Eure Investitur als Baron von {s7} und werdet zu einem der engsten Berater und Adjutanten Eures Lehnsherrns. Euer Ruf sorgt für subtiles Fädenziehen und großen Einfluss hinter den Kulissen, als auch für offene politische Macht. Nun verbringt Ihr Eure Tage mit Machtspielen, mit der Verwaltung Eurer großen Lehen und damit, die alten Zeiten der Abenteuer und des Ruhmes wieder aufleben zu lassen.
str_retirement_text_10|Trotz Eurer bescheidenen Ursprünge hält Euer Lehnsherr Euch in hohen Ehren, und eine Schockwelle geht durch das Reich, als er Euch den vererbbaren Titel {Graf/Gräfin} von {s9} überträgt. Gewaltige Lehen und Reichtümer sind nun unter Eurer Regentschaft. Schnell werdet Ihr zum meistvertrauten Berater Eures Lehnsherrns, fast schon seines Gleichen, und mit der Verwaltung eines Großteils seines Reichs betraut. Ihr sitzt auf einem Thron in Eurem eigenen opulenten Palast als eine der mächtigsten Figuren in ganz Calradia.
str_loot_village|unschuldige Dörfler angreifen
str_steal_from_villagers|von armen Dörflern stehlen
str_rob_caravan|Kaufmannskawarane ausrauben
str_sell_slavery|Menschen in die Sklaverei verkaufen
str_men_hungry|keine Nahrungsmittel mehr haben
str_men_unpaid|die Männer nicht zahlen können
str_excessive_casualties|jedes Gefecht in ein Blutbad für unsere Seite verwandeln
str_surrender|sich dem Feind ergeben
str_flee_battle|aus der Schlacht fliehen
str_pay_bandits|gewöhnliche Banditen auszahlen
str_fail_quest|in einer Quest fehlschlagen, die wir auf Ehrenwort annahmen
str_squander_money|uns anvertrautes Geld verschwenden
str_murder_merchant|uns in kaltblütige Morde verstricken
str_round_up_serfs|Leibeigene für einen Adligen zusammentreiben
str_battle_fate_1|Wir wurden in der Hitze des Gefechts getrennt
str_battle_fate_2|Ich wurde verwundet und als tot liegen gelassen
str_battle_fate_3|Ich wurde vom Feind bewusstlos geschlagen
str_battle_fate_4|Man nahm mich für Lösegeld gefangen
str_battle_fate_5|Ich wurde gefasst, konnte aber später fliehen
str_npc_morale_report|Ich bin {s6} Eurer Gefährtenwahl, {s7} Eurem Führungsstil, und {s8} dem allgemeinen Stand der Dinge
str_happy|glücklich mit
str_content|zufrieden mit
str_concerned|besorgt um
str_not_happy|nicht so glücklich mit
str_miserable|angewidert von
str_morale_reg1|Moral: {reg1}
str_bar_enthusiastic|Enthusiastisch
str_bar_content|Zufrieden
str_bar_weary|Erschöpft
str_bar_disgruntled|Verdrossen
str_bar_miserable|Unglücklich
str_here_plus_space|hier
str_npc1_intro|Hallo, Reisender. Ihr seid nicht zufällig auf der Suche nach einem Fährtenleser?
str_npc2_intro|Hallo. Wärt Ihr wohl so nett, einen Becher mit mir zu trinken? Ich habe nur noch fünf Dinare und trink nicht gerne allein.
str_npc3_intro|Eine guten Tag!
str_npc4_intro|Seid gegrüßt. Ich bin Rolf, Sohn von Rolf, aus dem uralten und mächtigen Haus von Rolf.
str_npc5_intro|Seid gegrüßt, Reisender. Würdet Ihr einen Becher mit mir leeren?
str_npc6_intro|Ich bin verloren ... verloren ...
str_npc7_intro|Ja? Übrigens, haltet Abstand.
str_npc8_intro|Was wollt Ihr?
str_npc9_intro|Hallo, Ihr da, holt mir noch einen Becher, ja?
str_npc10_intro|Seid gegrüßt, {Bruder/Schwester}! Auf Verderben und Fall alles hochwohlgeborenen Fürstenpacks!
str_npc11_intro|Hallo, mein {Junge/Mädel}. Trinkt einen auf mich.
str_npc12_intro|Seid gegrüßt, Reisender. Vielleicht könnt Ihr mir helfen.
str_npc13_intro|Seid gegrüßt, Reisender. Ich bin Nizar. Zweifelsohne habt Ihr von mir gehört.
str_npc14_intro|Ja? Was wünscht Ihr?
str_npc15_intro|Oh! Sagt, Freund, bringt Euer Weg Euch zufällig in Bälde aus der Stadt?
str_npc16_intro|Hallo. Ich konnte nicht übersehen, dass Ihr an der Spitze einer Kompanie Soldaten in die Stadt kamt. Braucht Ihr zufällig neue Leute?
str_npc1_intro_response_1|Vielleicht. Was ist so dringlich?
str_npc2_intro_response_1|Eure letzten fünf Dinare? Was geschah mit Euch?
str_npc3_intro_response_1|Hallo. Was macht eine so wohlgeborene junge Dame wie Ihr an einem Ort wie diesem?
str_npc4_intro_response_1|Hmm ... ich habe noch nie vom Haus von Rolf gehört.
str_npc5_intro_response_1|Selbstverständlich. Mit wem habe ich die Ehre, den Becher zu kreuzen?
str_npc6_intro_response_1|Warum so betrübt, Freund?
str_npc7_intro_response_1|Ich bitte um Verzeihung. Ich wollte lediglich bemerken, dass Ihr etwas schicksalsgebeutelt ausseht.
str_npc8_intro_response_1|Bloß zum Zeitvertreib, meine Dame, wenn Ihr nicht schon anderweitige Pläne habt.
str_npc9_intro_response_1|Ihr müsst mich mit dem Schankwirt verwechseln, mein Herr.
str_npc10_intro_response_1|Warum sagt Ihr das, mein Herr?
str_npc11_intro_response_1|Was ist der Anlass?
str_npc12_intro_response_1|Wie meinen?
str_npc13_intro_response_1|Ähm ... ich denke nicht.
str_npc14_intro_response_1|Um die Zeit mit einem Mitreisenden zu vertreiben, wenn Ihr erlaubt.
str_npc15_intro_response_1|Ja. Was geht Euch das an, wenn ich fragen darf?
str_npc16_intro_response_1|Könnte sein. Was habt Ihr für eine Geschichte?
str_npc1_intro_response_2|Tretet zurück, mein Herr, und haltet Eure Hand von meinem Geldbeutel fern.
str_npc2_intro_response_2|Ich habe Besseres zu tun.
str_npc3_intro_response_2|Ab mit dir, Mädel. Ich bin beschäftigt.
str_npc4_intro_response_2|Häh? Nein danke, wir wollen nichts.
str_npc5_intro_response_2|Ich habe keine Zeit dafür.
str_npc6_intro_response_2|Zweifelsohne. Nun, ich hoffe, man findet Euch.
str_npc7_intro_response_2|Genau. Dann werde ich Euch nicht behelligen.
str_npc8_intro_response_2|Nichts von jemandem, der Nettigkeiten so abgeneigt ist. Einen schönen Tag noch.
str_npc9_intro_response_2|Hol's selber!
str_npc10_intro_response_2|Das ist Rebellengeschwätz, und so was hör ich mir nicht an. Einen schönen Tag noch.
str_npc11_intro_response_2|Ich denke nicht, meine Dame.
str_npc12_intro_response_2|Es tut mir leid, ich fürchte, ich bin gerade anderweitig beschäftigt.
str_npc13_intro_response_2|Nein, und ich kann nicht sagen, dass ich unbedingt Eure Bekanntschaft zu machen wünsche.
str_npc14_intro_response_2|Gar nichts. Ich bitte um Verzeihung.
str_npc15_intro_response_2|Ich wäre Euch zu Dank verpflichtet, wenn Ihr Euch um Eure eigenen Angelegenheiten kümmertet, mein Herr.
str_npc16_intro_response_2|Kümmer dich um deine eigenen Angelegenheiten, Bengel.
str_npc1_backstory_a|Nun, {mein Herr/meine Dame}, es ist eine lange Geschichte ...
str_npc2_backstory_a|Es ist eine tragische Geschichte, mein Herr.
str_npc3_backstory_a|Eine gute Frage, und ich werde sie Euch beantworten!
str_npc4_backstory_a|Wahrlich? Nun, vielleicht kann ich Euch Eure Ignoranz vergeben. Unsere angestammten Ländereien sind weit weg, jenseits der Berge.
str_npc5_backstory_a|Ich bin Baheshtur, Sohn des Azabei, Enkel des Badzan. Wärt Ihr nicht ein Barbar, so würdet Ihr von meiner Abstammung her erkennen, dass ich ein Rotschimmel-Khergit des Hochlandes bin, vom Stamme der Shamir, Klan Dulam, aus der Familie Ubayns aus dem Pantash-Tal, und Ihr könntet Euch denken, warum ich so fern der Heimat bin.
str_npc6_backstory_a|Ich habe die unsäglichste aller Sünden begangen, {mein Herr/meine Dame}, und zu meiner großen Schande muss ich Euch als meinen Bekenner erküren, wenn Ihr mich denn anhören wollt.
str_npc7_backstory_a|Mein Glück? So könnte man es sagen.
str_npc8_backstory_a|Ah. Nun, wenn Ihr es wissen müsst, so werde ich es Euch sagen.
str_npc9_backstory_a|Meine zerknittertste Entschuldigung. Es ist manchmal schwierig, Leute in dieser verrauchten Düsternis hier zu erkennen. Ich kann es immer noch nicht glauben, dass ich solch einen Ort zu meinem Heim machen muss.
str_npc10_backstory_a|Es ist eine lange Geschichte, aber wenn Ihr Euch einen Becher holt, will ich sie Euch gern erzählen.
str_npc11_backstory_a|Nun, ich schaffte es, meinen Wagen und meine Töpfe zu veräußern, {Junge/Mädel}. Endlich einmal hatte ich Geld und die Intention, das Beste daraus zu machen.
str_npc12_backstory_a|Ich werde es Euch erzählen -- aber wisset, dass es eine Geschichte voll großem Unrecht ist. Ich warne Euch im Voraus, falls Ihr von aufbrausendem Temperament seid und angesichts des geschehenen Unrechts Euch so über mich erzürnt, dass Ihr Unfug anrichtet.
str_npc13_backstory_a|Nein? Dann habt Ihr vielleicht von meinem Ross gehört, das über Calradias Ebenen fegt wie ein Mondstrahl? Oder von meinem Schwert, dem Feinschmecker, der nur das Blut der höchstgeborenen Prinzen des Landes akzeptiert?
str_npc14_backstory_a|Nun gut. Das macht nichts. Mein Name ist Lazalet.
str_npc15_backstory_a|Ich bin ein Baumeister, Spezialist der Befestigungskunst. Wenn Ihr eine Mauer stürzen wollt, bin ich Euer Mann, solange genug Zeit ist. Wenn Ihr eine Mauer wieder aufbauen wollt, so kann ich auch dies tun, obwohl es länger dauern und Euch mehr kosten wird. Und Ihr könnt auch keine Kosten kürzen, es sei denn, Ihr wollt Euer neues Gebäude unter Euch einstürzen sehen, wie jemand hier gerade herausgefunden hat.
str_npc16_backstory_a|Nun, {mein Herr/meine Dame}, seit ich mich erinnern kann, habe ich eine Schwäche für schöne Dinge, und es hat mir Schwierigkeiten eingebracht.
str_npc1_backstory_b|Ich war in ein Missverständnis {s19} in {s20} um ein Pferd verwickelt, das ich vor der Herberge angebunden fand. Der Gaul war das Spiegelbild des Tiers, das mich wenige Tage zuvor abgeworfen und das Weite gesucht hatte. Natürlich band ich ihn los, um mir ein genaueres Bild zu verschaffen. Es stellte sich heraus, dass der Klepper einem Kaufmann gehörte, einem krähengesichtigen alten Bock, der um nichts in der Welt akzeptieren wollte, dass alles ein einfaches Missverständnis war, und stattdessen die Stadtwache herbei holte.
